Bishop's Opening; Ponziani Gambit,white,184,2083,1995,59.8,14.7,25.5,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d4']
Bishop's Opening; Urusov Gambit,white,101,2184,2150,45.5,21.8,32.7,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d4'; 'exd4'; '4.Nf3']
Bishop's Opening; Urusov Gambit; Keidansky Gambit,white,125,2235,2170,42.4,22.4,35.2,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d4'; 'exd4'; '4.Nf3'; 'Nxe4'; '5.Qxd4']
Bishop's Opening; Vienna Hybrid,white,3314,2241,2212,38,31,31,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d3'; 'Nc6'; '4.Nc3']
Bishop's Opening; Vienna Hybrid; Hromadka Variation,white,467,2288,2260,37,35.5,27.4,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d3'; 'Nc6'; '4.Nc3'; 'Bb4'; '5.Ne2']
Bishop's Opening; Vienna Hybrid; Spielmann Attack,white,1366,2195,2154,46.9,23.9,29.2,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.d3'; 'Bc5'; '4.Nc3']
Blackmar-Diemer Gambit; Declined; Langeheinecke Defense,black,122,2117,2126,39.3,28.7,32,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'Nf6'; '4.f3'; 'e3']
Blackmar-Diemer Gambit; Euwe Defense,black,175,1966,2063,31.4,14.3,54.3,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'Nf6'; '4.f3'; 'exf3'; '5.Nxf3'; 'e6']
Blackmar-Diemer Gambit; Netherlands Variation,black,110,2237,2248,36.4,29.1,34.5,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'f5']
Blackmar-Diemer Gambit; Teichmann Variation,black,317,2088,2103,48.3,14.2,37.5,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'Nf6'; '4.f3'; 'exf3'; '5.Nxf3'; 'Bg4']
Blackmar-Diemer Gambit; Vienna Variation,black,175,2016,2079,36.6,16.6,46.9,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'Nf6'; '4.f3'; 'Bf5']
Blackmar-Diemer Gambit; Von Popiel Gambit,white,120,2007,2080,30.8,19.2,50,['1.d4'; 'd5'; '2.e4'; 'dxe4'; '3.Nc3'; 'Nf6'; '4.Bg5']
Blumenfeld Countergambit; Accepted,black,612,2283,2320,35.6,20.6,43.8,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'c5'; '4.d5'; 'b5'; '5.dxe6'; 'fxe6'; '6.cxb5'; 'd5']
Blumenfeld Countergambit; Dus-Chotimursky Variation,white,1097,2385,2350,42.3,27.6,30.1,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'c5'; '4.d5'; 'b5'; '5.Bg5']
Blumenfeld Countergambit; General,black,614,2277,2292,42.8,20.7,36.5,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'c5'; '4.d5'; 'b5']
Blumenfeld Countergambit; Spielmann Variation,black,184,2320,2373,29.9,29.4,40.8,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'c5'; '4.d5'; 'b5'; '5.Bg5'; 'exd5'; '6.cxd5'; 'h6']
Bogo-Indian Defense; Exchange Variation,black,1738,2222,2273,15.5,46.9,37.6,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Bd2'; 'Bxd2+']
Bogo-Indian Defense; Grünfeld Variation,white,8285,2431,2388,42.4,35.8,21.7,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Nbd2']
Bogo-Indian Defense; Nimzowitsch Variation,black,7509,2260,2290,25.8,40.2,34,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Bd2'; 'Qe7']
Bogo-Indian Defense; Retreat Variation,black,252,2067,2093,30.2,26.2,43.6,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Bd2'; 'Be7']
Bogo-Indian Defense; Vitolinsh Variation,black,2359,2328,2370,26.2,43.1,30.7,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Bd2'; 'c5']
Bogo-Indian Defense; Wade-Smyslov Variation,black,2654,2335,2381,30.3,39.5,30.3,['1.d4'; 'Nf6'; '2.c4'; 'e6'; '3.Nf3'; 'Bb4+'; '4.Bd2'; 'a5']
Budapest Defense; Adler Variation,white,2877,2145,2123,42.9,26.2,30.9,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ng4'; '4.Nf3']
Budapest Defense; Alekhine Variation,white,355,2214,2162,53,19.7,27.3,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ng4'; '4.e4']
Budapest Defense; Alekhine Variation; Abonyi Variation,black,304,2179,2198,32.9,19.1,48,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ng4'; '4.e4'; 'Nxe5'; '5.f4'; 'Nec6']
Budapest Defense; Fajarowicz Variation,black,992,2093,2142,24.6,24.9,50.5,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ne4']
Budapest Defense; General,black,727,2077,2121,24.9,22,53.1,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ng4']
Budapest Defense; Rubinstein Variation,white,2522,2266,2217,50,29.5,20.5,['1.d4'; 'Nf6'; '2.c4'; 'e5'; '3.dxe5'; 'Ng4'; '4.Bf4']
Caro-Kann Defense; Accelerated Panov Attack,white,644,2245,2211,48.6,24.4,27,['1.e4'; 'c6'; '2.c4']
Caro-Kann Defense; Accelerated Panov Attack,black,936,2045,2082,20.6,26.3,53.1,['1.e4'; 'c6'; '2.c4'; 'd5']
